Step,Value
100000,-4.271754775643348
200000,-2.443635714352131
300000,-1.4011752739548684
400000,-0.6538682095333934
500000,-0.26211743844673036
600000,0.0750400832016021
700000,0.24507700287736953
800000,0.33884253080934285
900000,0.20202784253284334
1000000,0.37544213290326295
1100000,0.17310001285746693
1200000,0.6371311744302511
1300000,0.24812307264655828
1400000,0.5720939501188695
1500000,0.8469283192977309
1600000,0.9671470669098199
1700000,1.4321228748001158
1800000,1.1249201592430473
1900000,1.1000478365458548
2000000,1.5776448926888407
2100000,0.942029763199389
2200000,0.4519484081864357
2300000,0.807347122412175
2400000,1.0424544568546117
2500000,1.038035767171532
2600000,1.2922265625745057
2700000,1.2855619296431542
2800000,1.7331909171491862
2900000,2.4169508611038326
3000000,1.9568713327124714
3100000,1.923520259167999
3200000,1.7549325337447226
3300000,1.679808952882886
3400000,2.076087811999023
3500000,2.2548602167516947
3600000,2.443926217034459
3700000,2.902938639447093
3800000,2.8553605700097977
3900000,3.020959162786603
4000000,3.0667069174721835
4100000,2.8819321598112584
4200000,2.737459108866751
4300000,3.2351190735772253
4400000,3.2340229642018676
4500000,2.9641341434419157
4600000,4.011719491817058
4700000,3.2305567805469035
4800000,2.6593300943728537
4900000,3.7834720201790333
5000000,3.55473686888814
5100000,3.539249658063054
5200000,3.534463582187891
5300000,3.8129190031345934
5400000,4.5968586152791975
5500000,4.632039065063
5600000,3.242284118235111
5700000,3.672676300294697
5800000,4.62796500781551
5900000,2.6375828405469655
6000000,1.8672509776800872
6100000,3.808001426681876
6200000,5.991916500926018
6300000,6.909593124929816
6400000,5.634155053980648
6500000,5.405247581005097
6600000,5.84873858846724
6700000,4.933501736037433
6800000,5.462771921083331
6900000,4.383333205133677
7000000,6.20729208894074
7100000,3.8443388519994914
7200000,5.855410297438502
7300000,3.9584943387657403
7400000,6.536450046002865
7500000,5.409356352686882
7600000,3.138662343630567
7700000,4.104189469926059
7800000,6.691058850418776
7900000,4.434519239272922
8000000,5.800639655292034
8100000,5.810624823309481
8200000,7.42930586218834
8300000,3.3223697341233493
8400000,6.457466747127473
8500000,6.241067094989121
8600000,5.788876306191087
8700000,6.838995161578059
8800000,8.090247972533106
8900000,6.18661967869848
9000000,5.790184455141425
9100000,7.1817624950781465
9200000,7.086905678063631
9300000,4.917804711516947
9400000,7.110324086993932
9500000,4.2285302679799495
9600000,7.21518206808716
9700000,5.252755513954908
9800000,3.5887678457796572
9900000,7.1182998986542225
10000000,9.219955283477903
10100000,4.177130544111133
10200000,6.072660732492804
10300000,4.2986053465306755
10400000,6.829598837643862
10500000,4.786740929409862
10600000,9.070371983200312
10700000,2.7901073443889617
10800000,7.674190916903317
10900000,6.754621716868132
11000000,6.648225016593933
11100000,7.956332475990057
11200000,8.513595272805542
11300000,7.387796990424395
11400000,6.909630241226405
11500000,8.1513857896626
11600000,6.455641514435411
11700000,9.45866886049509
11800000,9.093043474555015
11900000,7.71577607313171
12000000,7.19084986910224
12100000,9.270182670438663
12200000,4.610611963905394
12300000,7.390016871895641
12400000,8.118544004112483
12500000,9.60785446215421
12600000,8.509240128472447
12700000,7.276238358132542
12800000,6.875048557817936
12900000,7.860872826240957
13000000,6.8798603203892705
13100000,5.70759708210826
13200000,8.820873412713409
13300000,10.665628113858402
13400000,10.132665188219399
13500000,8.851067639738321
13600000,9.18909586880356
13700000,5.850322805172763
13800000,8.121748989671469
13900000,8.577866360470653
14000000,7.8933142766729
14100000,7.993192337844521
14200000,9.694393426887691
14300000,8.465390381515027
14400000,9.259910181984305
14500000,8.34929430142045
14600000,10.695281700808556
14700000,11.16449128145352
14800000,9.314523119851946
14900000,9.938735096082091
15000000,10.540670326203108
15100000,9.439753049276769
15200000,12.212236024402081
15300000,10.705354131856001
15400000,7.885870508998632
15500000,6.960792700275778
15600000,11.93509243041277
15700000,12.533337238505483
15800000,12.012535536140204
15900000,9.730639532357454
16000000,9.663746304661036
16100000,9.948027706742288
16200000,9.189023995148018
16300000,11.349636135436594
16400000,14.268695033220574
16500000,12.30205091547221
16600000,9.846384066790343
16700000,10.845227380078287
16800000,10.872900951467454
16900000,12.871794268172234
17000000,14.474580771252512
17100000,8.454378704205155
17200000,10.139551710002124
17300000,6.504905001372099
17400000,11.054644505036995
17500000,8.146945426128804
17600000,11.840158742759376
17700000,14.126942490562797
17800000,10.075589872002602
17900000,11.293491555005312
18000000,8.552121853530407
18100000,12.870127268582582
18200000,9.97199912045151
18300000,15.370377512425184
18400000,10.251372903212905
18500000,13.013869839794934
18600000,11.647040529102087
18700000,16.525965490490197
18800000,18.81146880351007
18900000,12.301842866260559
19000000,14.031054020822047
19100000,9.286588111761958
