t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-5.0,4.5,1.2,0.0,0.0,0.0,0.70776,-0.0,0.0,-0.70646,0.0,0.0,0.0,0,0,0,0,0,0,3.56003243450814,6.878992807012829,6.878997754432946,2.5544064227455427,0,0,0,0,0,0
0.018496349109545923,-4.999987785554922,4.499907571024357,1.2023201283821177,0.002607874465076995,-0.019968098346658542,0.25016958089833036,0.7042373327566221,0.04255974683726608,0.055425069375640755,-0.7065171680756894,-1.9374701922166466,14.999991276760685,-0.5470681846468142,0,0,0,0,0,0,6.878996281513943,6.872193821873746,6.878993454235884,6.878997436825874,0,0,0,0,0,0
0.036992698219091846,-4.999779371442625,4.498271677107597,1.2106443762310841,0.02303589474696152,-0.18342171956892594,0.6422596352096,0.6868692734276093,0.1272782209496756,0.1647888245193641,-0.6963156604632987,-1.8449195492028245,14.999988405869436,-0.543368486322124,0,0,0,0,0,0,6.878997396970278,6.872568416948037,6.8789831389774925,6.8789982879037,0,0,0,0,0,0
0.05548904732863777,-4.999034721088395,4.492187735349104,1.2256600339283663,0.05976540072483037,-0.497836756142259,0.9666564834440802,0.6560019686126742,0.2101030032541081,0.2703365047755856,-0.6726338672603543,-1.7523125946563112,14.99995909165117,-0.5398783269952682,0,0,0,0,0,0,6.878997765191079,6.637687550041688,6.878928962957301,6.87899853765462,0,0,0,0,0,0
0.07398539643818369,-4.997501272295159,4.479106770310855,1.2457114938363854,0.10779354215022677,-0.93468672148243,1.1813588682533305,0.6138475369298902,0.2868167963669522,0.37001528350270785,-0.6356225426314867,-2.13483189615598,14.538277925161724,-0.40864010109166204,0,0,0,0,0,0,6.878997827814568,3.5101220111334226,3.7735353936094773,6.8789985690646915,0,0,0,0,0,0
0.09248174554772962,-4.995095880401407,4.458182026020085,1.2680043261573946,0.15455086051262248,-1.3335621982557972,1.2188083909334912,0.5885439919840681,0.31960652283669777,0.43002022803777873,-0.6054339299527483,-2.6138950039431963,1.8469587247382897,-0.26534011306741245,0,0,0,0,0,0,6.8789977559493325,6.87870474646834,5.693575923069363,6.87899850099564,0,0,0,0,0,0
0.11097809465727554,-4.991544636737195,4.428750260165636,1.291079967471684,0.23183125345609037,-1.8492199094334443,1.2748616838753333,0.5867588266028251,0.3131788744758818,0.44355262100418086,-0.6007446582251205,-0.28523483625345464,-0.4698169769240749,-0.9100619565008329,0,0,0,0,0,0,6.87899767654842,6.878685431769116,6.878640049573055,6.878998417087639,0,0,0,0,0,0
0.12947444376682146,-4.986446411573464,4.389568092476026,1.3152677296015078,0.3200649525026468,-2.3871096921033987,1.341228320842433,0.5844312221846447,0.3052636939702658,0.44522303861912854,-0.605830561759755,-0.2906680913551042,-0.46773961232561867,-0.9100862420205325,0,0,0,0,0,0,6.878997593918253,6.87848358910976,6.8787611658790295,6.878998329967686,0,0,0,0,0,0
0.14797079287636739,-4.979680951263061,4.340460160534622,1.3407204224262042,0.41212985691861764,-2.9224816066485233,1.4116176463211367,0.5820552407603272,0.2972996033111071,0.44689332297366907,-0.6108281267722105,-0.2967106261623761,-0.4657529188594351,-0.9099348369894618,0,0,0,0,0,0,6.878997503895883,6.877873386043001,6.878761235579376,6.878998238223645,0,0,0,0,0,0
0.1664671419859133,-4.971176203898927,4.28147344940438,1.3675112740284758,0.508155815644221,-3.455290555476596,1.4859024408678552,0.5796369712143712,0.28928036923626615,0.44856457285270007,-0.6157334435918149,-0.30393170712039974,-0.4648859591712041,-0.9094514382434564,0,0,0,0,0,0,6.878997403922944,6.8752780678835945,6.87870883943497,6.878998139455287,0,0,0,0,0,0
0.18496349109545923,-4.9608576384229695,4.212656098155054,1.3957110699718056,0.6082857229874703,-3.9854544069568765,1.5639487748706238,0.5772019765957571,0.28117622081574173,0.4502354819127933,-0.6205367208219696,-0.3161542453175009,-0.4691032687222091,-0.9075846631554472,0,0,0,0,0,0,6.878997292896725,6.855986750938451,6.878585956628461,6.878998030905871,0,0,0,0,0,0
0.20345984020500515,-4.9486478317002796,4.134060739075865,1.4253872136299996,0.712727943749041,-4.512551087378065,1.6455450280911672,0.5749276747860352,0.272775002120956,0.4518992711190916,-0.6251711891514746,-0.3662086220799468,-0.5110735857648154,-0.895290061728515,0,0,0,0,0,0,6.878997171139892,6.828430054089987,6.878304004197528,6.8789979094419955,0,0,0,0,0,0
